	Phrase	new_sent
47486	a lot of laughs in this simple , sweet and romantic comedy	1
48498	it from the bland songs to the colorful but flat drawings	0
133059	The lack of naturalness makes everything seem self-consciously poetic and forced ... It 's a pity that -LRB- Nelson 's -RRB- achievement does n't match his ambition .	0
108087	it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world	1
25311	continues to systematically destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage	0
106703	all for easy sanctimony , formulaic thrills and a ham-fisted sermon	0
70226	tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents	0
152127	a diverting -- if predictable -- adventure suitable for a matinee	1
99222	in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care	0
120043	Totally overwrought , deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe are The Greatest Musicians of All Time .	0
741	While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .	0
148857	One of those decades-spanning historical epics that strives to be intimate and socially encompassing but fails to do justice to either effort in three hours of screen time	0
61197	This kind of hands-on storytelling is ultimately what makes Shanghai Ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .	1
55963	a beautifully shot , but ultimately flawed film about growing up in Japan	0
110996	its hackneyed and meanspirited storyline with cardboard characters and performers who	0
97888	doc that is n't trying simply to out-shock , out-outrage or out-depress its potential audience !	1
83699	it rarely stoops to cheap manipulation or corny conventions to do it	1
151158	-LRB- Allen -RRB- manages to breathe life into this somewhat tired premise .	1
23343	The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities	1
81594	a satisfying well-made romantic comedy that 's both charming and well acted	1
137750	is too often like looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale .	0
4695	upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing	1
9654	Notwithstanding my problem with the movie 's final half hour , I 'm going to recommend SECRETARY , based on the wonderful acting clinic put on by Spader and Gyllenhaal	1
149213	Mr. Caine and Mr. Fraser are the whole show here , with their memorable and resourceful performances .	1
43972	deserved all the hearts it won -- and wins still , 20 years later	1
28097	it covers just about every cliche in the compendium about crass , jaded movie types and the phony baloney movie biz .	0
37260	are scenes of cinematic perfection that steal your heart away .	1
36443	the movie 's wildly careening tone and an extremely flat lead performance	0
103983	knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort	1
35375	is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .	0
122192	a film so willing to champion the fallibility of the human heart	1
1917	But it has an ambition to say something about its subjects , but not a willingness .	0
97138	refuses to let Slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .	1
155914	Simply put , there should have been a more compelling excuse to pair Susan Sarandon and Goldie Hawn .	0
90430	little grace -LRB- Rifkin 's -RRB- tale of precarious skid-row dignity	1
146837	to be significantly different -LRB- and better -RRB- than most films with this theme	1
64047	a good idea that was followed by the bad idea to turn it into a movie	0
114961	Kids five and up will be delighted with the fast , funny , and even touching story .	1
110402	you rode the Zipper after eating a corn dog and an extra-large cotton candy	1
65327	a bad sign when they 're supposed to be having a collective heart attack	0
61734	even uses a totally unnecessary prologue , just because it seems obligatory	0
28707	A manipulative feminist empowerment tale thinly posing as a serious drama about spousal abuse .	0
94961	a plot as musty as one of the Golden Eagle 's carpets	0
57790	It 's up to -LRB- Watts -RRB- to lend credibility to this strange scenario , and her presence succeeds in making us believe .	1
96817	this alleged psychological thriller in search of purpose or even a plot	0
63707	carries almost no organic intrigue as a government \/ Marine\/legal mystery	0
23193	the makers of this ` we 're - doing-it-for - the-cash ' sequel	0
68374	The genius of the work speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates .	1
28819	its heartfelt concern about North Korea 's recent past and South Korea 's future adds a much needed moral weight	1
90617	Manipulative claptrap , a period-piece movie-of-the-week , plain old blarney ...	0
133442	Parker should be commended for taking a fresh approach to familiar material	1
51747	Birthday Girl '' is an actor 's movie first and foremost .	1
102478	the story 's more cerebral , and likable , plot elements	1
138857	street gangs and turf wars in 1958 Brooklyn -- stale cliches , gratuitous violence	0
109364	undermines the possibility for an exploration of the thornier aspects of the nature\/nurture argument in regards	0
14325	perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D	1
145130	cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin	1
32396	Yet another entry in the sentimental oh-those-wacky-Brits genre that was ushered in by The Full Monty and is still straining to produce another smash hit .	0
36139	staged like `` Rosemary 's Baby , '' but is not as well-conceived as either of those films	0
95124	Julia Roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism	0
46290	that forgets about unfolding a coherent , believable story in its zeal to spread propaganda	0
92097	it goes for a plot twist instead of trusting the material	0
127794	your reward will be a thoughtful , emotional movie experience .	1
86172	This 90-minute dud could pass for Mike Tyson 's E !	0
26397	Astonishing ... -LRB- frames -RRB- profound ethical and philosophical questions in the form of dazzling pop entertainment .	1
119287	passes time until it 's time for an absurd finale of twisted metal , fireballs and revenge	0
70086	inspire a trip to the video store -- in search of a better movie experience	0
69290	, carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .	0
51387	Ozpetek offers an AIDS subtext , skims over the realities of gay sex , and presents yet another tired old vision of the gay community as an all-inclusive world where uptight , middle class bores like Antonia can feel good about themselves .	0
7346	ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .	0
90142	We never truly come to care about the main characters and whether or not they 'll wind up together	0
72020	-LRB- Less a movie than -RRB- an appalling , odoriferous thing ... so	0
61366	's also curious to note that this film , like the similarly ill-timed Antitrust , is easily as bad at a fraction the budget .	0
73798	suspect that you 'll be as bored watching Morvern Callar as the characters are in it	0
119185	will need to adhere more closely to the laws of laughter	0
140499	has bucked the odds to emerge as an exquisite motion picture in its own right	1
42859	Executed with such gentle but insistent sincerity , with such good humor and	1
90140	We never truly come to care about the main characters and whether or not they 'll wind up together , and	0
45665	a long time that made me want to bolt the theater in the first 10 minutes	0
19228	A naturally funny film , Home Movie makes you crave Chris Smith 's next movie .	1
118252	Be prepared to cling to the edge of your seat , tense with suspense	1
6980	In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .	0
47618	brings a tragic dimension and savage full-bodied wit and cunning to the aging Sandeman	1
141266	In the wake of Saving Private Ryan , Black Hawk Down and We Were Soldiers , you are likely to be as heartily sick of mayhem as Cage 's war-weary marine .	0
21198	amused and entertained by the unfolding of Bielinsky 's cleverly constructed scenario	1
95965	Whereas the extremely competent hitman films such as Pulp Fiction and Get Shorty resonate a sardonic verve to their caustic purpose for existing	1
17141	has a built-in audience , but only among those who are drying out from spring break and	0
65992	What 's so fun about this silly , outrageous , ingenious thriller	1
121461	While dutifully pulling on heartstrings , directors Dean Deblois and Chris Sanders valiantly keep punching up the mix .	1
151365	A classic fairy tale that perfectly captures the wonders and worries of childhood in a way that few movies have ever approached	1
137264	An undistinguished attempt to make a classic theater piece cinematic .	0
39826	the spark of imagination that might have made it an exhilarating	1
120021	allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie	0
115866	The solid filmmaking and convincing characters makes this a high water mark for this genre .	1
109644	Miyazaki has created such a vibrant , colorful world , it 's almost impossible not to be swept away by the sheer beauty of his images .	1
155307	at , but its not very informative about its titular character and no more challenging than your average television biopic	0
44293	jolt you out of your seat a couple of times ,	1
120786	is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama	0
38137	because of the way it allows the mind to enter and accept another world	1
24593	the situations and the dialogue spin hopelessly out of control -- that is to say	0
131992	but one relentlessly depressing situation after another for its entire running time	0
54727	But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...	1
121877	going for it other than its exploitive array of obligatory cheap	0
97551	None of the characters or plot-lines are fleshed-out enough to build any interest .	0
106141	made the original New Testament stories so compelling for 20 centuries	1
67829	love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew	1
122872	's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us	1
14035	A mechanical action-comedy whose seeming purpose is to market the charismatic Jackie Chan to even younger audiences .	0
82977	, but Miss Wonton floats beyond reality with a certain degree of wit and dignity	1
121626	At every opportunity to do something clever , the film goes right over the edge and kills every sense of believability ...	0
99248	a knack for casting , often resurrecting performers who rarely work in movies now ... and drawing flavorful performances from bland actors	1
113302	that started with a great premise and then just fell apart	0
42524	to be transported into the life of Wladyslaw Szpilman , who is not only a pianist , but a good human being	1
125562	Time literally stops on a dime in the tries-so-hard-to-be-cool `` Clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life	0
47060	a formula that worked five years ago but has since lost its fizz	0
11984	Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .	0
116632	for the big-fisted direction of Jez Butterworth , who manages to blast even the smallest sensitivities from the romance with his clamorous approach	0
65676	All comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad	0
101274	Jonah 's despair -- in all its agonizing , Catch-22 glory --	1
39418	everything except someone pulling the pin from a grenade with his teeth	0
70429	A relentless , bombastic and ultimately empty World War II action	0
82874	it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate	1
152348	would ever work in a McCulloch production again if they looked at how this movie turned out	0
64763	Writer-director Randall Wallace has bitten off more than he or anyone else could chew , and his movie veers like a drunken driver through heavy traffic	0
60686	the cast members , who seem bound and determined to duplicate Bela Lugosi 's now-cliched vampire accent	0
69592	is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice .	1
80236	's a shame that the storyline and its underlying themes ... finally seem so impersonal or even shallow	0
69458	the voice-over hero in Columbia Pictures ' perverse idea of an animated holiday movie	0
83105	a movie like Ballistic : Ecks Vs. Sever is more of an ordeal than an amusement .	0
143451	its New England characters , most of whom wander about in thick clouds of denial	0
116332	contains some hefty thematic material on time , death , eternity , and what	1
5965	is one of world cinema 's most wondrously gifted artists and storytellers .	1
149987	will have completely forgotten the movie by the time you get back to your car in the parking lot .	0
20684	's encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity	1
13917	undermining the movie 's reality and stifling its creator 's comic voice	0
79748	that cuts to the chase of the modern girl 's dilemma	1
33665	the eyes of some children who remain curious about each other against all odds	1
137490	Like Vardalos and Corbett , who play their roles with vibrant charm	1
128630	It 's the kind of under-inspired , overblown enterprise that gives Hollywood sequels a bad name .	0
79731	Laugh-out-loud lines , adorably ditsy but heartfelt performances , and sparkling , bittersweet dialogue that cuts to the chase of the modern girl 's dilemma .	1
97380	on this frozen tundra soap opera that breathes extraordinary life into the private existence of the Inuit people	1
55645	how well it holds up in an era in which computer-generated images are the norm	1
6225	Sillier , cuter , and shorter than the first -LRB- as best I remember -RRB- , but still a very good time at the cinema .	1
4263	old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion	1
68982	a huge amount of the credit for the film 's thoroughly winning tone	1
62720	A bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that French realism .	1
120315	's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful .	0
7162	Time of Favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .	0
91596	that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to Earth for harvesting purposes	1
150090	You 'll forget about it by Monday , though , and if they 're old enough to have developed some taste , so will your kids	0
136306	's sweet , funny , charming , and completely delightful .	1
94861	Tries so hard to be quirky and funny that the strain is all too evident .	0
93702	that would have been better off staying on the festival circuit	0
69500	Better still , he does all of this , and more , while remaining one of the most savagely hilarious social critics this side of Jonathan Swift .	1
68009	Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .	1
145363	you find yourself rooting for Gai 's character to avoid the fate that has befallen every other Carmen before her	1
113183	riveting memories are rendered with such clarity that it 's as if it all happened only yesterday	1
60043	it seems so real because it does not attempt to filter out the complexity	1
152310	An eye-boggling blend of psychedelic devices , special effects and backgrounds , ` Spy Kids 2 '	1
118756	A miraculous movie , I 'm Going Home is so slight , yet overflows with wisdom and emotion .	1
52450	's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .	1
109149	searching for a quarter in a giant pile of elephant feces	0
96151	the type of film about growing up that we do n't see often enough these days	1
59126	when he can be wacky without clobbering the audience over the head and still maintain a sense of urgency and suspense	1
126537	do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance	0
47093	to be universal in its themes of loyalty , courage and dedication to a common goal , never	1
62058	Marshall keeps the energy humming , and his edits , unlike those in Moulin Rouge , are crisp and purposeful without overdoing it	1
28530	give a spark to `` Chasing Amy '' and `` Changing Lanes '' falls flat as thinking man CIA agent Jack Ryan in this summer 's new action film , ``	0
51225	the movie benefits from having a real writer plot out all of the characters ' moves and overlapping story .	1
94311	As it stands , Crocodile Hunter has the hurried , badly cobbled look of the 1959 Godzilla , which combined scenes of a Japanese monster flick with canned shots of Raymond Burr commenting on the monster 's path of destruction .	0
36675	have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy	0
56202	The latest Adam Sandler assault and possibly the worst film of the year	0
59732	The acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing .	0
50352	who 's seen George Roy Hill 's 1973 film , `` The Sting	1
79205	avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up	1
34934	A zinger-filled crowd-pleaser that open-minded Elvis fans -LRB- but by no means all -RRB- will have fun with .	1
22885	is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones	1
125398	that hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers	0
27638	Mariah Carey gives us another peek at some of the magic we saw in Glitter here in Wisegirls .	1
89694	is less a documentary and more propaganda by way of a valentine sealed with a kiss .	0
120072	is a stunning film , a one-of-a-kind tour de force .	1
115469	Apparently , romantic comedy with a fresh point of view just does n't figure in the present Hollywood program .	0
4515	Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises	0
87308	At the end , when the now computerized Yoda finally reveals his martial artistry , the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside .	1
54520	Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .	1
94681	is rather like being trapped while some weird relative trots out the video he took of the family vacation to Stonehenge .	0
82030	beyond the astute direction of Cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates .	1
99990	contemporary Chinese life this exciting new filmmaker has brought to the screen	1
102328	that director M. Night Shyamalan can weave an eerie spell and	1
64111	The charm of Revolution OS is rather the way it introduces you to new , fervently held ideas and fanciful thinkers .	1
155902	does n't deserve the energy it takes to describe how bad it is .	0
100032	is a gentle film with dramatic punch , a haunting ode to humanity .	1
103574	I enjoyed the movie in a superficial way , while never sure what its purpose was .	1
76397	bordering on offensive , waste of time , money and celluloid	0
13007	in luminous interviews and amazingly evocative film from three decades ago	1
37797	Becomes a fascinating study of isolation and frustration that successfully recreates both the physical setting and emotional tensions of the Papin sisters .	1
55770	'' one of the film 's stars recently said , a tortuous comment that perfectly illustrates the picture 's moral schizophrenia .	0
29404	What might have been acceptable on the printed page of Iles ' book does not translate well to the screen .	0
79527	An invaluable historical document thanks to the filmmaker 's extraordinary access to Massoud , whose charm , cultivation and devotion to his people are readily apparent	1
54994	those unassuming films that sneaks up on you and stays with you long after you have left the theatre	1
54509	find yourself wishing that you and they were in another movie	0
115528	comes off as emotionally manipulative and sadly imitative of innumerable past Love Story derisions .	0
2296	In IMAX in short , it 's just as wonderful on the big screen .	1
62286	Imagine -LRB- if possible -RRB- a Pasolini film without passion or politics , or an Almodovar movie without beauty or humor , and you have some idea of the glum , numb experience of watching O Fantasma .	0
126028	color , music , and dance that only the most practiced curmudgeon could fail to crack a smile at	1
17822	Stage director Sam Mendes showcases Tom Hanks as a depression era hit-man in this dark tale of revenge .	1
130894	Does n't do more than expand a TV show to movie length .	0
93580	of a vastly improved Germanic version of My Big Fat Greek Wedding	1
75728	takes great pleasure in watching the resourceful Molly stay a step ahead of her pursuers .	1
78908	there 's no other reason why anyone should bother remembering it	0
124065	attempts to show off his talent by surrounding himself with untalented people	0
92730	As improbable as this premise may seem , Abbass 's understated , shining performance offers us the sense that on some elemental level , Lilia deeply wants to break free of her old life .	1
37352	to interesting cinematic devices -LRB- cool visual backmasking -RRB- , a solid cast , and some wickedly sick and twisted humor	1
153903	to speak about other than the fact that it is relatively short	0
89458	A sour attempt at making a Farrelly Brothers-style , down-and-dirty laugher for the female set .	0
30313	A wild ride with eight boarders from Venice Beach that was a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festival .	1
32481	Nolan 's penetrating undercurrent of cerebral and cinemantic flair lends -LRB- it -RRB- stimulating depth .	1
117727	The Trials of Henry Kissinger is a remarkable piece of filmmaking ... because you get it .	1
71006	tight and truthful , full of funny situations and honest observations	1
22553	a future-world holographic librarian -LRB- Orlando Jones -RRB- who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized	1
106775	tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .	1
126346	Khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .	1
73888	Amid the new populist comedies that underscore the importance of family tradition and familial community , one would be hard-pressed to find a movie with a bigger , fatter heart than Barbershop .	1
79719	Plus , like I already mentioned ... it 's Robert Duvall !	1
28652	Nothing overly original , mind you , but solidly entertaining .	1
54379	its absurd , contrived , overblown , and entirely implausible finale	0
142737	Ms. Shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast .	0
105733	contrasting the sleekness of the film 's present with the playful paranoia of the film 's past	1
100826	better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals	1
78431	If I could have looked into my future and saw how bad this movie was , I would go back and choose to skip it .	0
120541	's not much to Fatale , outside of its stylish surprises	0
44513	is n't able to muster for a movie that , its title notwithstanding , should have been a lot nastier	0
136341	that both thrills the eye and , in its over-the-top way , touches the heart .	1
89480	too many characters saying too many clever things and getting into too many pointless situations	0
55390	is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer	1
38852	able to overcome his personal obstacles and become a good man	1
143106	Kapur modernizes A.E.W. Mason 's story to suit the sensibilities of a young American , a decision that plucks `` The Four Feathers '' bare .	0
129435	this Cinderella story does n't have a single surprise up its sleeve .	0
6797	become apparent that the franchise 's best years are long past	0
119474	that it 's shot on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb	1
80391	is so insanely stupid , so awful in so many ways	0
126379	A film centering on a traditional Indian wedding in contemporary New Delhi may not sound like specialized fare , but Mira Nair 's film is an absolute delight for all audiences .	1
120665	's no way you wo n't be talking about the film once you exit the theater	1
148645	Davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air	1
78679	It 's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .	1
116313	, there are side stories aplenty -- none of them memorable .	0
31178	Scott delivers a terrific performance in this fascinating portrait of a modern Lothario .	1
76591	May take its sweet time to get wherever it 's going	0
54484	that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in	1
77178	, with some glimpses of nature and family warmth , Time Out is a discreet moan of despair about entrapment in the maze of modern life .	0
33763	has about 3\/4th the fun of its spry 2001 predecessor -- but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half the plot and ingenuity .	0
88394	bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time	0
32003	Those who do n't entirely ` get ' Godard 's distinctive discourse will still come away with a sense of his reserved but existential poignancy .	1
64342	does n't really deliver for country music fans or for family audiences	0
27143	the stuff to stand tall with Pryor , Carlin and Murphy	1
63085	putrid writing , direction and timing with a smile that says , ` If I stay positive , maybe I can channel one of my greatest pictures , Drunken Master	0
154036	remains aloft not on its own self-referential hot air , but on the inspired performance of Tim Allen .	1
139626	there is a real danger less sophisticated audiences will mistake it for an endorsement of the very things that Bean abhors .	0
136608	ends up merely pretentious -- in a grisly sort of way	0
119883	arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made B movie is long gone	0
26822	though her performance is more interesting -LRB- and funnier -RRB- than his	1
135382	reminded us that a feel-good movie can still show real heart	1
1342	call for prevention rather than to place blame , making it one of the best war movies ever made	1
133537	The cameo-packed , M : I-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise ...	1
123947	be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , Daniel Auteuil ,	1
148735	With an expressive face reminiscent of Gong Li and a vivid personality like Zhang Ziyi 's	1
89535	All three descriptions suit Evelyn , a besotted and obvious drama that tells us nothing new	0
85805	the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families	0
120135	to Shyamalan 's gifts , which are such that we 'll keep watching the skies for his next project	1
93767	creates a film of near-hypnotic physical beauty even as he tells a story as horrifying as any in the heart-breakingly extensive annals of white-on-black racism	1
154824	Samuel L. Jackson is one of the best actors there is .	1
4354	, Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience .	1
17136	Van Wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest .	0
119055	There 's undeniable enjoyment to be had from films crammed with movie references ,	1
5667	so bad it does n't improve upon the experience of staring at a blank screen	0
15802	one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while	1
59853	the kind of movie that 's critic-proof , simply because it aims so low	0
111989	The nicest thing that can be said about Stealing Harvard -LRB- which might have been called Freddy Gets Molested by a Dog -RRB- is that it 's not as obnoxious as Tom Green 's Freddie Got Fingered .	0
83736	works its magic with such exuberance and passion that the film 's length becomes a part of its fun	1
48803	jaw-dropping action sequences , striking villains , a gorgeous color palette ,	1
75689	thinking up grocery lists and ways to tell their kids how not to act like Pinocchio	0
23426	could be the worst film a man has made about women since Valley of the Dolls	0
140416	that they 're playing characters who sometimes feel more like literary conceits than flesh-and-blood humans	0
130331	Soderbergh , like Kubrick before him , may not touch the planet 's skin , but understands the workings of its spirit .	1
66812	, do we have that same option to slap her creators because they 're clueless and inept ?	0
51883	demonstrating vividly that the beauty and power of the opera reside primarily in the music itself	1
55178	Wonderland adventure , a stalker thriller , and a condensed season of TV 's Big Brother	1
147112	cut their losses -- and ours -- and retitle it The Adventures of Direct-to-Video Nash , and send it to its proper home	0
113711	that it 's left a few crucial things out , like character development and coherence	0
132639	in formula -- which is a waste of De Niro , McDormand and the other good actors in the cast	0
58211	to recognize that there are few things in this world more complex -- and , as it turns out , more fragile -- than happiness	1
96404	updates the setting in an attempt to make the film relevant today , without fully understanding what it was that made the story relevant in the first place	0
38005	the film 's crisp , unaffected style and air of gentle longing	1
125419	With ` Bowling for Columbine , ' Michael Moore gives us the perfect starting point for a national conversation about guns , violence , and fear .	1
21463	finally succeeds in diminishing his stature from Oscar-winning master to lowly studio hack .	0
152163	... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .	0
135742	Tully is in many ways the perfect festival film : a calm , self-assured portrait of small town regret , love , duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience .	1
38844	That the real Antwone Fisher was able to overcome his personal obstacles and become a good man is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle .	1
82970	Call it magic realism or surrealism , but Miss Wonton floats beyond reality with a certain degree of wit and dignity .	1
144757	'' has been written so well , that even a simple `` Goddammit ! ''	1
114744	This is the kind of subject matter that could so easily have been fumbled by a lesser filmmaker , but Ayres makes the right choices at every turn	1
13655	means a great movie , but it is a refreshingly forthright one .	1
37374	is the best Star Trek movie in a long time .	1
10089	Any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .	1
46222	It shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .	0
127629	is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why .	1
112104	is funny , smart , visually inventive , and most of all ,	1
107107	This painfully unfunny farce traffics in tired stereotypes and encumbers itself with complications	0
122817	elevated by the wholesome twist of a pesky mother interfering during her son 's discovery of his homosexuality .	1
50218	Peter Jackson and company once again dazzle and delight us , fulfilling practically every expectation either a longtime Tolkien fan or a movie-going neophyte	1
151829	provides a window into a subculture hell-bent on expressing itself in every way imaginable . '	1
140578	, spooky , educational , but at other times as bland as a block of snow .	0
79191	Working from a surprisingly sensitive script co-written by Gianni Romoli ... Ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .	1
134019	One of those exceedingly rare films in which the talk alone is enough to keep us involved .	1
63935	is an elegiac portrait of a transit city on the West African coast struggling against foreign influences .	1
15208	be captivated , as I was , by its moods , and by its subtly transformed star , and	1
57037	The film is old-fashioned , occasionally charming and as subtle as boldface .	1
147720	would n't matter so much that this arrogant Richard Pryor wannabe 's routine is offensive , puerile and unimaginatively foul-mouthed if it was at least funny .	0
87649	about the film , which very simply sets out to entertain and ends up delivering in good measure	1
